what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493069503811
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493069503824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069504019
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493069504033
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493069506011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069545274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069546761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069586130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069586222
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493069586228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069586269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069586700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069587788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069588566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069589871
error,log,,,"The program file specified in the launch configuration does not exist",1493069589905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069589942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069590750
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1493069592339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493069594112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493069594842
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493069596982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069596985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069597233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069597841
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493069609565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493069681014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493069705328
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493069709713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493069722779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493069723279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493069737179
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493069738615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493069769039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493069770510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493069777519
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493069779181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069830040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493110028406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493110031920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493137331522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493137357639
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493138684866
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493138684944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493138685952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493138700257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493138703516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139096215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139101621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139102928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139137246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139153172
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493139154076
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493139169570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139171429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139847564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139849058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139924568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139933953
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493139995126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493139995246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140000433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140142217
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1493140142455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140145213
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493140159477
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493140159489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140159715
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493140159728
